Iterações do Simplex
================================================================================
=== Iteracao: 0 ===
             VB        x1        x2        x3        x4        x5        x6        x7        x8        x9       x10       x11        w1        w2        w3        w4        w5        w6        w7        w8        w9       w10       w11       w12       w13       w14       w15       w16       w17       w18       w19       w20       w21       w22       w23       w24       w25       w26       w27       w28       w29        a1        a2         b
            w26      3.00     -0.00     -2.00      5.00      5.00      7.00     10.00      5.00     -5.00      5.00     10.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     54.00
            w27      4.00    -10.00     -7.00      9.00     10.00      4.00      5.00      6.00     -6.00      7.00      9.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00     48.00
            w28      4.00     -0.00     -8.00      3.00      0.00      7.00      4.00      5.00     -5.00     10.00      5.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00     44.00
             a2      3.00     -4.00     -2.00      7.00      5.00      3.00      5.00      3.00     -3.00      3.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.00      0.00      1.00     38.00
              Z-9000001.006000007.008000007.00-14000008.00-5000004.00-5000006.00-7000001.00-8000010.008000010.00-8000009.00-12000008.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.001000000.00      0.00      0.00-43000000.00

=== Iteracao: 1 ===
             VB        x1        x2        x3        x4        x5        x6        x7        x8        x9       x10       x11        w1        w2        w3        w4        w5        w6        w7        w8        w9       w10       w11       w12       w13       w14       w15       w16       w17       w18       w19       w20       w21       w22       w23       w24       w25       w26       w27       w28       w29        a1        a2         b
             x4      0.86     -0.29     -0.86      1.00      0.00      0.29      0.29      0.71     -0.71      0.71      1.43      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.14      0.00      0.71
             w1     -7.71     -6.43     -2.29      0.00      3.00      0.43      1.43     -0.43      0.43     -0.43     -4.86      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.29      0.00     53.57
